input	canonical	year	precision	qualifier	calendar	range	valid	reason	stored	exported551	exported7	storedyear	storedvalid
BET GREGORIAN 6 SEP 1950 AND _ROMAN 6	BET GREGORIAN 6 SEP 1950 AND _ROMAN 6	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 AND _ROMAN 6	BET GREGORIAN 6 SEP 1950 AND _ROMAN 6	BET GREGORIAN 6 SEP 1950 AND _ROMAN 6	1950	false
BET GREGORIAN 6 SEP 1950 AND _UNKNOWN _MONTH 1	BET GREGORIAN 6 SEP 1950 AND _UNKNOWN _MONTH 1	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 AND _UNKNOWN _MONTH 1	BET GREGORIAN 6 SEP 1950 AND _UNKNOWN _MONTH 1	BET GREGORIAN 6 SEP 1950 AND _UNKNOWN _MONTH 1	1950	false
BET GREGORIAN 6 SEP 1950 AND _UNKNOWN 14 _MONTH 60	BET GREGORIAN 6 SEP 1950 AND _UNKNOWN 14 _MONTH 60	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 AND _UNKNOWN 14 _MONTH 60	BET GREGORIAN 6 SEP 1950 AND _UNKNOWN 14 _MONTH 60	BET GREGORIAN 6 SEP 1950 AND _UNKNOWN 14 _MONTH 60	1950	false
BET GREGORIAN 6 SEP 1950 AND _UNKNOWN 43	BET GREGORIAN 6 SEP 1950 AND _UNKNOWN 43	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 AND _UNKNOWN 43	BET GREGORIAN 6 SEP 1950 AND _UNKNOWN 43	BET GREGORIAN 6 SEP 1950 AND _UNKNOWN 43	1950	false
BET GREGORIAN 6 SEP 1950 AND 8 SEP 836	BET GREGORIAN 6 SEP 1950 AND 8 SEP 836	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 AND 8 SEP 836	BET GREGORIAN 6 SEP 1950 AND 8 SEP 836	BET GREGORIAN 6 SEP 1950 AND 8 SEP 836	1950	false
BET GREGORIAN 6 SEP 1950 AND 8 SEP 836 BCE	BET GREGORIAN 6 SEP 1950 AND 8 SEP 836 BCE	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 AND 8 SEP 836 BCE	BET GREGORIAN 6 SEP 1950 AND 8 SEP 836 BCE	BET GREGORIAN 6 SEP 1950 AND 8 SEP 836 BCE	1950	false
BET GREGORIAN 6 SEP 1950 AND 836	BET GREGORIAN 6 SEP 1950 AND 836	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 AND 836	BET GREGORIAN 6 SEP 1950 AND 836	BET GREGORIAN 6 SEP 1950 AND 836	1950	false
BET GREGORIAN 6 SEP 1950 AND 836 BCE	BET GREGORIAN 6 SEP 1950 AND 836 BCE	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 AND 836 BCE	BET GREGORIAN 6 SEP 1950 AND 836 BCE	BET GREGORIAN 6 SEP 1950 AND 836 BCE	1950	false
BET GREGORIAN 6 SEP 1950 AND 9 NOV 836	BET GREGORIAN 6 SEP 1950 AND 9 NOV 836	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 AND 9 NOV 836	BET GREGORIAN 6 SEP 1950 AND 9 NOV 836	BET GREGORIAN 6 SEP 1950 AND 9 NOV 836	1950	false
BET GREGORIAN 6 SEP 1950 AND 9 NOV 836 BCE	BET GREGORIAN 6 SEP 1950 AND 9 NOV 836 BCE	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 AND 9 NOV 836 BCE	BET GREGORIAN 6 SEP 1950 AND 9 NOV 836 BCE	BET GREGORIAN 6 SEP 1950 AND 9 NOV 836 BCE	1950	false
BET GREGORIAN 6 SEP 1950 AND DEC 836	BET GREGORIAN 6 SEP 1950 AND DEC 836	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 AND DEC 836	BET GREGORIAN 6 SEP 1950 AND DEC 836	BET GREGORIAN 6 SEP 1950 AND DEC 836	1950	false
BET GREGORIAN 6 SEP 1950 AND DEC 836 BCE	BET GREGORIAN 6 SEP 1950 AND DEC 836 BCE	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 AND DEC 836 BCE	BET GREGORIAN 6 SEP 1950 AND DEC 836 BCE	BET GREGORIAN 6 SEP 1950 AND DEC 836 BCE	1950	false
BET GREGORIAN 6 SEP 1950 AND FRENCH_R 7 FRUC 76	BET GREGORIAN 6 SEP 1950 AND FRENCH_R 7 FRUC 76	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 AND FRENCH_R 7 FRUC 76	BET GREGORIAN 6 SEP 1950 AND FRENCH_R 7 FRUC 76	BET GREGORIAN 6 SEP 1950 AND FRENCH_R 7 FRUC 76	1950	false
BET GREGORIAN 6 SEP 1950 AND FRENCH_R 85	BET GREGORIAN 6 SEP 1950 AND FRENCH_R 85	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 AND FRENCH_R 85	BET GREGORIAN 6 SEP 1950 AND FRENCH_R 85	BET GREGORIAN 6 SEP 1950 AND FRENCH_R 85	1950	false
BET GREGORIAN 6 SEP 1950 AND FRENCH_R PRAI 33	BET GREGORIAN 6 SEP 1950 AND FRENCH_R PRAI 33	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 AND FRENCH_R PRAI 33	BET GREGORIAN 6 SEP 1950 AND FRENCH_R PRAI 33	BET GREGORIAN 6 SEP 1950 AND FRENCH_R PRAI 33	1950	false
BET GREGORIAN 6 SEP 1950 AND GREGORIAN 836	BET GREGORIAN 6 SEP 1950 AND GREGORIAN 836	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET 1950-09-06 AND 0836	BET 6 SEP 1950 AND 0836	BET 6 SEP 1950 AND 0836	1950	true
BET GREGORIAN 6 SEP 1950 AND GREGORIAN 9 NOV 836	BET GREGORIAN 6 SEP 1950 AND GREGORIAN 9 NOV 836	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET 1950-09-06 AND 0836-11-09	BET 6 SEP 1950 AND 9 NOV 0836	BET 6 SEP 1950 AND 9 NOV 0836	1950	true
BET GREGORIAN 6 SEP 1950 AND GREGORIAN 9 NOV 836 BCE	BET GREGORIAN 6 SEP 1950 AND GREGORIAN 9 NOV 836 BCE	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET 1950-09-06 AND 0836-11-09 BCE	BET 6 SEP 1950 AND 9 NOV 0836 B.C.	BET 6 SEP 1950 AND 9 NOV 0836 BCE	1950	true
BET GREGORIAN 6 SEP 1950 AND GREGORIAN DEC 836	BET GREGORIAN 6 SEP 1950 AND GREGORIAN DEC 836	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET 1950-09-06 AND 0836-12	BET 6 SEP 1950 AND DEC 0836	BET 6 SEP 1950 AND DEC 0836	1950	true
BET GREGORIAN 6 SEP 1950 AND GREGORIAN DEC 836 BCE	BET GREGORIAN 6 SEP 1950 AND GREGORIAN DEC 836 BCE	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET 1950-09-06 AND 0836-12 BCE	BET 6 SEP 1950 AND DEC 0836 B.C.	BET 6 SEP 1950 AND DEC 0836 BCE	1950	true
BET GREGORIAN 6 SEP 1950 AND GREGORIAN JUN 836	BET GREGORIAN 6 SEP 1950 AND GREGORIAN JUN 836	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET 1950-09-06 AND 0836-06	BET 6 SEP 1950 AND JUN 0836	BET 6 SEP 1950 AND JUN 0836	1950	true
BET GREGORIAN 6 SEP 1950 AND GREGORIAN JUN 836 BCE	BET GREGORIAN 6 SEP 1950 AND GREGORIAN JUN 836 BCE	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET 1950-09-06 AND 0836-06 BCE	BET 6 SEP 1950 AND JUN 0836 B.C.	BET 6 SEP 1950 AND JUN 0836 BCE	1950	true
BET GREGORIAN 6 SEP 1950 AND HEBREW 4 ADR 97	BET GREGORIAN 6 SEP 1950 AND HEBREW 4 ADR 97	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 AND HEBREW 4 ADR 97	BET GREGORIAN 6 SEP 1950 AND HEBREW 4 ADR 97	BET GREGORIAN 6 SEP 1950 AND HEBREW 4 ADR 97	1950	false
BET GREGORIAN 6 SEP 1950 AND HEBREW 42	BET GREGORIAN 6 SEP 1950 AND HEBREW 42	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 AND HEBREW 42	BET GREGORIAN 6 SEP 1950 AND HEBREW 42	BET GREGORIAN 6 SEP 1950 AND HEBREW 42	1950	false
BET GREGORIAN 6 SEP 1950 AND HEBREW TVT 17	BET GREGORIAN 6 SEP 1950 AND HEBREW TVT 17	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 AND HEBREW TVT 17	BET GREGORIAN 6 SEP 1950 AND HEBREW TVT 17	BET GREGORIAN 6 SEP 1950 AND HEBREW TVT 17	1950	false
BET GREGORIAN 6 SEP 1950 AND JULIAN 8 SEP 836	BET GREGORIAN 6 SEP 1950 AND JULIAN 8 SEP 836	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 AND JULIAN 8 SEP 836	BET GREGORIAN 6 SEP 1950 AND JULIAN 8 SEP 836	BET GREGORIAN 6 SEP 1950 AND JULIAN 8 SEP 836	1950	false
BET GREGORIAN 6 SEP 1950 AND JULIAN 8 SEP 836 BCE	BET GREGORIAN 6 SEP 1950 AND JULIAN 8 SEP 836 BCE	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 AND JULIAN 8 SEP 836 BCE	BET GREGORIAN 6 SEP 1950 AND JULIAN 8 SEP 836 BCE	BET GREGORIAN 6 SEP 1950 AND JULIAN 8 SEP 836 BCE	1950	false
BET GREGORIAN 6 SEP 1950 AND JULIAN 836	BET GREGORIAN 6 SEP 1950 AND JULIAN 836	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 AND JULIAN 836	BET GREGORIAN 6 SEP 1950 AND JULIAN 836	BET GREGORIAN 6 SEP 1950 AND JULIAN 836	1950	false
BET GREGORIAN 6 SEP 1950 AND JULIAN 836 BCE	BET GREGORIAN 6 SEP 1950 AND JULIAN 836 BCE	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 AND JULIAN 836 BCE	BET GREGORIAN 6 SEP 1950 AND JULIAN 836 BCE	BET GREGORIAN 6 SEP 1950 AND JULIAN 836 BCE	1950	false
BET GREGORIAN 6 SEP 1950 AND JUN 836	BET GREGORIAN 6 SEP 1950 AND JUN 836	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 AND JUN 836	BET GREGORIAN 6 SEP 1950 AND JUN 836	BET GREGORIAN 6 SEP 1950 AND JUN 836	1950	false
BET GREGORIAN 6 SEP 1950 AND JUN 836 BCE	BET GREGORIAN 6 SEP 1950 AND JUN 836 BCE	1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 AND JUN 836 BCE	BET GREGORIAN 6 SEP 1950 AND JUN 836 BCE	BET GREGORIAN 6 SEP 1950 AND JUN 836 BCE	1950	false
BET GREGORIAN 6 SEP 1950 BCE AND _ROMAN _MONTH 55	BET GREGORIAN 6 SEP 1950 BCE AND _ROMAN _MONTH 55	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND _ROMAN _MONTH 55	BET GREGORIAN 6 SEP 1950 BCE AND _ROMAN _MONTH 55	BET GREGORIAN 6 SEP 1950 BCE AND _ROMAN _MONTH 55	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND _ROMAN 3	BET GREGORIAN 6 SEP 1950 BCE AND _ROMAN 3	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND _ROMAN 3	BET GREGORIAN 6 SEP 1950 BCE AND _ROMAN 3	BET GREGORIAN 6 SEP 1950 BCE AND _ROMAN 3	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND _ROMAN 7 _MONTH 7	BET GREGORIAN 6 SEP 1950 BCE AND _ROMAN 7 _MONTH 7	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND _ROMAN 7 _MONTH 7	BET GREGORIAN 6 SEP 1950 BCE AND _ROMAN 7 _MONTH 7	BET GREGORIAN 6 SEP 1950 BCE AND _ROMAN 7 _MONTH 7	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND _UNKNOWN _MONTH 74	BET GREGORIAN 6 SEP 1950 BCE AND _UNKNOWN _MONTH 74	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND _UNKNOWN _MONTH 74	BET GREGORIAN 6 SEP 1950 BCE AND _UNKNOWN _MONTH 74	BET GREGORIAN 6 SEP 1950 BCE AND _UNKNOWN _MONTH 74	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND _UNKNOWN 18 _MONTH 93	BET GREGORIAN 6 SEP 1950 BCE AND _UNKNOWN 18 _MONTH 93	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND _UNKNOWN 18 _MONTH 93	BET GREGORIAN 6 SEP 1950 BCE AND _UNKNOWN 18 _MONTH 93	BET GREGORIAN 6 SEP 1950 BCE AND _UNKNOWN 18 _MONTH 93	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND _UNKNOWN 51	BET GREGORIAN 6 SEP 1950 BCE AND _UNKNOWN 51	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND _UNKNOWN 51	BET GREGORIAN 6 SEP 1950 BCE AND _UNKNOWN 51	BET GREGORIAN 6 SEP 1950 BCE AND _UNKNOWN 51	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND 1 JUN 561	BET GREGORIAN 6 SEP 1950 BCE AND 1 JUN 561	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND 1 JUN 561	BET GREGORIAN 6 SEP 1950 BCE AND 1 JUN 561	BET GREGORIAN 6 SEP 1950 BCE AND 1 JUN 561	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND 1 JUN 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND 1 JUN 561 BCE	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND 1 JUN 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND 1 JUN 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND 1 JUN 561 BCE	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND 561	BET GREGORIAN 6 SEP 1950 BCE AND 561	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND 561	BET GREGORIAN 6 SEP 1950 BCE AND 561	BET GREGORIAN 6 SEP 1950 BCE AND 561	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND 561 BCE	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND 561 BCE	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND 6 JAN 561	BET GREGORIAN 6 SEP 1950 BCE AND 6 JAN 561	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND 6 JAN 561	BET GREGORIAN 6 SEP 1950 BCE AND 6 JAN 561	BET GREGORIAN 6 SEP 1950 BCE AND 6 JAN 561	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND 6 JAN 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND 6 JAN 561 BCE	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND 6 JAN 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND 6 JAN 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND 6 JAN 561 BCE	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND APR 561	BET GREGORIAN 6 SEP 1950 BCE AND APR 561	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND APR 561	BET GREGORIAN 6 SEP 1950 BCE AND APR 561	BET GREGORIAN 6 SEP 1950 BCE AND APR 561	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND APR 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND APR 561 BCE	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND APR 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND APR 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND APR 561 BCE	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND FEB 561	BET GREGORIAN 6 SEP 1950 BCE AND FEB 561	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND FEB 561	BET GREGORIAN 6 SEP 1950 BCE AND FEB 561	BET GREGORIAN 6 SEP 1950 BCE AND FEB 561	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND FEB 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND FEB 561 BCE	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND FEB 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND FEB 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND FEB 561 BCE	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND FRENCH_R 4	BET GREGORIAN 6 SEP 1950 BCE AND FRENCH_R 4	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND FRENCH_R 4	BET GREGORIAN 6 SEP 1950 BCE AND FRENCH_R 4	BET GREGORIAN 6 SEP 1950 BCE AND FRENCH_R 4	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND FRENCH_R 6 VENT 21	BET GREGORIAN 6 SEP 1950 BCE AND FRENCH_R 6 VENT 21	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND FRENCH_R 6 VENT 21	BET GREGORIAN 6 SEP 1950 BCE AND FRENCH_R 6 VENT 21	BET GREGORIAN 6 SEP 1950 BCE AND FRENCH_R 6 VENT 21	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND FRENCH_R COMP 39	BET GREGORIAN 6 SEP 1950 BCE AND FRENCH_R COMP 39	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND FRENCH_R COMP 39	BET GREGORIAN 6 SEP 1950 BCE AND FRENCH_R COMP 39	BET GREGORIAN 6 SEP 1950 BCE AND FRENCH_R COMP 39	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND GREGORIAN 1 JUN 561	BET GREGORIAN 6 SEP 1950 BCE AND GREGORIAN 1 JUN 561	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET 1950-09-06 BCE AND 0561-06-01	BET 6 SEP 1950 B.C. AND 1 JUN 0561	BET 6 SEP 1950 BCE AND 1 JUN 0561	-1950	true
BET GREGORIAN 6 SEP 1950 BCE AND GREGORIAN 1 JUN 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND GREGORIAN 1 JUN 561 BCE	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET 1950-09-06 BCE AND 0561-06-01 BCE	BET 6 SEP 1950 B.C. AND 1 JUN 0561 B.C.	BET 6 SEP 1950 BCE AND 1 JUN 0561 BCE	-1950	true
BET GREGORIAN 6 SEP 1950 BCE AND GREGORIAN 561	BET GREGORIAN 6 SEP 1950 BCE AND GREGORIAN 561	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET 1950-09-06 BCE AND 0561	BET 6 SEP 1950 B.C. AND 0561	BET 6 SEP 1950 BCE AND 0561	-1950	true
BET GREGORIAN 6 SEP 1950 BCE AND GREGORIAN 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND GREGORIAN 561 BCE	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET 1950-09-06 BCE AND 0561 BCE	BET 6 SEP 1950 B.C. AND 0561 B.C.	BET 6 SEP 1950 BCE AND 0561 BCE	-1950	true
BET GREGORIAN 6 SEP 1950 BCE AND GREGORIAN FEB 561	BET GREGORIAN 6 SEP 1950 BCE AND GREGORIAN FEB 561	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET 1950-09-06 BCE AND 0561-02	BET 6 SEP 1950 B.C. AND FEB 0561	BET 6 SEP 1950 BCE AND FEB 0561	-1950	true
BET GREGORIAN 6 SEP 1950 BCE AND HEBREW 10 SVN 50	BET GREGORIAN 6 SEP 1950 BCE AND HEBREW 10 SVN 50	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND HEBREW 10 SVN 50	BET GREGORIAN 6 SEP 1950 BCE AND HEBREW 10 SVN 50	BET GREGORIAN 6 SEP 1950 BCE AND HEBREW 10 SVN 50	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND HEBREW 66	BET GREGORIAN 6 SEP 1950 BCE AND HEBREW 66	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND HEBREW 66	BET GREGORIAN 6 SEP 1950 BCE AND HEBREW 66	BET GREGORIAN 6 SEP 1950 BCE AND HEBREW 66	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND HEBREW TSH 3	BET GREGORIAN 6 SEP 1950 BCE AND HEBREW TSH 3	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND HEBREW TSH 3	BET GREGORIAN 6 SEP 1950 BCE AND HEBREW TSH 3	BET GREGORIAN 6 SEP 1950 BCE AND HEBREW TSH 3	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND JULIAN 561	BET GREGORIAN 6 SEP 1950 BCE AND JULIAN 561	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND JULIAN 561	BET GREGORIAN 6 SEP 1950 BCE AND JULIAN 561	BET GREGORIAN 6 SEP 1950 BCE AND JULIAN 561	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND JULIAN 6 JAN 561	BET GREGORIAN 6 SEP 1950 BCE AND JULIAN 6 JAN 561	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND JULIAN 6 JAN 561	BET GREGORIAN 6 SEP 1950 BCE AND JULIAN 6 JAN 561	BET GREGORIAN 6 SEP 1950 BCE AND JULIAN 6 JAN 561	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND JULIAN 6 JAN 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND JULIAN 6 JAN 561 BCE	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND JULIAN 6 JAN 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND JULIAN 6 JAN 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND JULIAN 6 JAN 561 BCE	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND JULIAN APR 561	BET GREGORIAN 6 SEP 1950 BCE AND JULIAN APR 561	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND JULIAN APR 561	BET GREGORIAN 6 SEP 1950 BCE AND JULIAN APR 561	BET GREGORIAN 6 SEP 1950 BCE AND JULIAN APR 561	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND JULIAN APR 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND JULIAN APR 561 BCE	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND JULIAN APR 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND JULIAN APR 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND JULIAN APR 561 BCE	-1950	false
BET GREGORIAN 6 SEP 1950 BCE AND JULIAN FEB 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND JULIAN FEB 561 BCE	-1950	year		GREGORIAN	between	false	date body must be YYYY, YYYY-MM, or YYYY-MM-DD	BET GREGORIAN 6 SEP 1950 BCE AND JULIAN FEB 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND JULIAN FEB 561 BCE	BET GREGORIAN 6 SEP 1950 BCE AND JULIAN FEB 561 BCE	-1950	false
